,Age,Name,Yomi,StateData,RecommendData,Kubun,VotesCount,BtnParty,CountData,PositionData,CareerData,Bg1,Bg2,Bg3,Bg4,Bg5,Bg6,Bg7,Bg8,Bg9,Bg10,Bg11,Bg12,Bg13,Bg14,Bg15
157,51,遠藤　宣彦,えんどう　のぶひこ,元,,千葉６区,15395,次世代の党,1,［元］郵政省職員,［元］郵政省職員［歴］衆院議員秘書▽自民党支部長▽東京福祉大特任教授▽東大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,2. 反対,2. 引き受けたくない,1. 必要だ,2. 反対,2. 反対
158,55,斎藤　　健,さいとう　けん,前,［公］,千葉７区,111030,自民党,3,党副幹事長,党副幹事長・農林部会長［歴］経産省課長▽埼玉県副知事▽環境政務官▽東大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,非該当,非該当,1. 見直すべきだ,1. 見直すべきだ,非該当,非該当,1. 必要だ,2. 反対,非該当
159,47,石塚　貞通,いしづか　さだみち,新,,千葉７区,48651,維新の党,0,司法書士,石塚司法書士事務所長▽党県幹事長［歴］不動産会社員▽衆議員秘書▽立教大,1. 賛成,2. 反対,1. 評価する,2. 導入すべきでない,2. 評価しない,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,1. 賛成
160,71,渡部　隆夫,わたなべ　たかお,新,,千葉７区,27306,共産党,0,党地区役員,党地区役員・７区くらし相談室長▽東葛健康友の会会長［歴］会社員▽法大,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
161,60,阿部　治正,あべ　はるまさ,新,,千葉７区,14718,社民党,0,［元］流山市議,［元］流山市議▽九条の会・流山事務局員［歴］川口ユニオン副委員長▽放送大,2. 反対,2. 反対,1. 評価する,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,無回答,2. 必要でない,2. 反対,2. 反対
162,64,桜田　義孝,さくらだ　よしたか,前,［公］,千葉８区,98569,自民党,6,党副幹事長,党副幹事長・県会長［歴］柏市議▽県議▽副内閣相▽副文科相▽明大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,1. 必要だ,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,2. 反対,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
163,35,太田　和美,おおた　かずみ,元,,千葉８区,69667,維新の党,3,［元］会社社長,［元］住宅会社社長［歴］教材販売会社員▽県議▽沼南高柳高,2. 反対,2. 反対,1. 評価する,2. 導入すべきでない,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,1. 賛成,非該当
164,67,小野里定良,おのざと　ていりょう,新,,千葉８区,32118,共産党,0,党地区役員,党地区副委員長［歴］大学生協職員▽児童図書出版社員▽柏市議▽法大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
165,39,秋本　真利,あきもと　まさとし,前,［公］,千葉９区,85092,自民党,2,［元］富里市議,［元］富里市議▽小売会社役員▽党青年局次長［歴］衆院議員秘書▽法大,1. 賛成,非該当,1. 評価する,2. 導入すべきでない,1. 評価する,非該当,2. 必要でない,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,非該当,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
166,50,奥野総一郎,おくの　そういちろう,前,,千葉９区,68564,民主党,3,［元］総務省職員,［元］総務省職員▽党税調副会長［歴］横浜市課長▽参院議員秘書▽東大,無回答,2. 反対,無回答,無回答,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,無回答,無回答,2. 見直すべきでない,無回答,1. 賛成,無回答,2. 必要でない,無回答,2. 反対
167,39,西田　　譲,にしだ　ゆずる,前,,千葉９区,24039,次世代の党,1,［元］県議,［元］県議▽党国対委員長代理［歴］衆院議員秘書▽新党日本事務局長▽慶大中退,1. 賛成,1. 賛成,1. 評価する,2. 導入すべきでない,1. 評価する,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,1. 必要だ,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,2. 反対,非該当,1. 必要だ,1. 賛成,非該当
168,59,鴨志田安代,かもしだ　やすしろ,新,,千葉９区,20745,共産党,0,党地区委員長,党地区委員長・県委員［歴］小学校臨時教員▽党木更津中央支部長▽千葉大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
169,67,林　　幹雄,はやし　もとお,前,［公］,千葉１０区,97783,自民党,8,［元］防災担当相,［元］防災担当相▽党総務会長代理［歴］衆議員秘書▽県議▽党幹事長代理▽日大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,非該当,1. 必要だ,1. 問題ない,非該当,非該当,非該当,非該当,1. 必要だ,1. 賛成,1. 賛成
170,51,谷田川　元,やたがわ　はじめ,元,,千葉１０区,65809,民主党,1,［元］県議,［元］県議▽党１０区総支部長［歴］丸紅社員▽松下政経塾生▽衆院議員秘書▽早大,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,非該当,1. 問題ない,2. 見直すべきでない,1. 見直すべきだ,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,非該当
171,60,笠原　正実,かさはら　まさみ,新,,千葉１０区,14049,共産党,0,党地区委員長,党地区委員長・県委員［歴］大工▽会社員▽民青同盟地区委員長▽銚子一中,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,無回答,2. 必要でない,2. 反対,2. 反対
172,66,森　　英介,もり　えいすけ,前,［公］,千葉１１区,110965,自民党,9,［元］法相,［元］法相▽党労政局長［歴］会社員▽党副幹事長・県会長▽副厚労相▽東北大,1. 賛成,1. 賛成,1. 評価する,非該当,1. 評価する,非該当,非該当,非該当,非該当,非該当,非該当,非該当,1. 必要だ,非該当,1. 賛成
173,57,金子　健一,かねこ　けんいち,元,,千葉１１区,38783,生活の党,1,［元］一宮町議,［元］一宮町議▽卸売会社社長［歴］町商工会副会長▽町観光協会長▽一宮商高,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,2. 反対,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
174,57,椎名　史明,しいな　ふみあき,新,,千葉１１区,25997,共産党,0,党地区委員長,党地区委員長［歴］映画配給会社役員▽民青同盟県委員会役員▽千葉大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
175,59,浜田　靖一,はまだ　やすかず,前,［公］,千葉１２区,134037,自民党,8,［元］防衛相,［元］防衛相▽党国際局長［歴］衆院議員秘書▽党国対委員長・幹事長代理▽専大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,2. 見直すべきでない,1. 見直すべきだ,1. 賛成,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
176,63,米本　展久,よねもと　のぶひさ,新,,千葉１２区,46397,共産党,0,党地区委員長,党南部地区委員長・県委員［歴］会社員▽党西部地区常任委員▽千葉工大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
177,39,白須賀貴樹,しらすか　たかき,前,［公］,千葉１３区,96294,自民党,2,歯科医師,歯科医▽幼稚園理事長▽党１３区支部長・国対委員・青年局次長▽東京歯大,1. 賛成,1. 賛成,1. 評価する,無回答,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,2. 反対,無回答,1. 必要だ,1. 賛成,1. 賛成
178,68,若井　康彦,わかい　やすひこ,前,,千葉１３区,64725,民主党,3,［元］国交政務官,［元］国交政務官▽党県副代表［歴］地域コンサルタント会社役員▽東大,2. 反対,2. 反対,2. 評価しない,2. 導入すべきでない,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
179,68,中川　勝敏,なかがわ　かつとし,新,,千葉１３区,28147,共産党,0,党地区委員,党地区委員［歴］中学校講師▽小学校助教諭▽生協職員▽学習塾経営▽慶大,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
180,59,冨樫　博之,とがし　ひろゆき,前,［公］,秋田１区,66388,自民党,2,［元］県議長,［元］県議長▽県ソフトボール協会長［歴］衆参院議員秘書▽秋田経済大,1. 賛成,非該当,1. 評価する,非該当,1. 評価する,非該当,1. 必要だ,1. 問題ない,2. 見直すべきでない,2. 見直すべきでない,非該当,非該当,1. 必要だ,1. 賛成,1. 賛成
181,38,寺田　　学,てらた　まなぶ,元,,秋田１区,57782,民主党,4,［元］首相補佐官,［元］首相補佐官［歴］三菱商事社員▽党県代表▽財務金融委筆頭理事▽中大,2. 反対,2. 反対,1. 評価する,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,無回答,1. 賛成,無回答,無回答,2. 反対,無回答
182,66,山内　梅良,やまうち　うめよし,新,,秋田１区,11579,共産党,0,［元］県議,［元］県議▽党県副委員長［歴］雄和町議▽県生協労連議長▽金足農高,2. 反対,2. 反対,非該当,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,2. 反対,非該当,2. 必要でない,2. 反対,2. 反対
183,63,伊藤　正通,いとう　まさみち,新,,秋田１区,5441,社民党,0,［元］県教組委長,［元］県教組委員長▽党県平和運動推進委員長［歴］学校事務職員▽立教大院,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,無回答,無回答,2. 必要でない,2. 反対,2. 反対
184,65,金田　勝年,かねだ　かつとし,前,［公］,秋田２区,82046,自民党,3,［元］副外相,［元］副外相［歴］大蔵省主計官▽参院議員▽農水政務次官▽一橋大,1. 賛成,1. 賛成,1. 評価する,無回答,1. 評価する,無回答,1. 必要だ,1. 問題ない,無回答,無回答,無回答,無回答,1. 必要だ,1. 賛成,1. 賛成
185,29,緑川　貴士,みどりかわ　たか　し,新,,秋田２区,56701,民主党,0,［元］民放アナ,［元］秋田朝日放送アナウンサー▽党２区総支部長▽早大,2. 反対,2. 反対,1. 評価する,2. 導入すべきでない,2. 評価しない,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,2. 必要でない,2. 参拝すべきでない,1. 見直すべきだ,1. 見直すべきだ,1. 賛成,2. 引き受けたくない,2. 必要でない,1. 賛成,2. 反対
186,68,藤本　金治,ふじもと　かねじ,新,,秋田２区,11247,共産党,0,党地区委員長,党地区委員長・県委員［歴］全動労東日本地方本部委員長▽鷹巣農林高,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
187,50,御法川信英,みのりかわ　のぶひで,前,［公］,秋田３区,94096,自民党,4,副財務相,副財務相［歴］外務政務官▽党国対副委員長▽米コロンビア大院,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,非該当,1. 必要だ,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,1. 賛成,非該当,1. 必要だ,1. 賛成,1. 賛成
188,54,村岡　敏英,むらおか　としひで,前,,秋田３区,88483,維新の党,2,［元］大臣秘書官,［元］官房長官政務秘書官［歴］建設会社員▽運輸相政務秘書官▽日大,無回答,無回答,1. 評価する,2. 導入すべきでない,2. 評価しない,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,2. 必要でない,無回答,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,1. 賛成
189,60,我妻　桂子,わがつま　けいこ,新,,秋田３区,14333,共産党,0,党県委員,党県委員▽米穀店経営［歴］横手市国保運営協議会委員▽早大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
190,64,遠藤　利明,えんどう　としあき,前,［公］,山形１区,98508,自民党,7,［元］副文科相,党政調会長代理［歴］衆院議員秘書▽県議▽副文科相▽党幹事長代理▽中大,非該当,非該当,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,非該当,2. 見直すべきでない,1. 見直すべきだ,1. 賛成,非該当,1. 必要だ,1. 賛成,2. 反対
191,41,原田　和広,はらだ　まさひろ,新,,山形１区,46029,民主党,0,会社役員,職業訓練会社役員▽ケンブリッジ大院,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,1. 賛成,2. 反対
192,41,石川　　渉,いしかわ　しょう,新,,山形１区,16577,共産党,0,党県委員,党県委員［歴］民青同盟県委員長▽党准県委員▽山形大,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
193,32,鈴木　憲和,すずき　のりかず,前,［公］,山形２区,97915,自民党,2,［元］農水省職員,［元］農水省職員▽党青年局次長・農林副部会長▽東大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,2. 参拝すべきでない,1. 見直すべきだ,1. 見直すべきだ,1. 賛成,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
194,49,近藤　洋介,こんどう　ようすけ,前,,山形２区,90420,民主党,5,［元］副経産相,［元］副経産相［歴］日経新聞記者▽経産政務官▽経産委員▽内閣委理事▽慶大,2. 反対,2. 反対,1. 評価する,2. 導入すべきでない,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,非該当,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,非該当,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
195,64,白根沢澄子,しらねざわ　すみこ,新,,山形２区,11086,共産党,0,［元］米沢市議,［元］米沢市議▽党県委員［歴］小学校養護助教諭▽米沢職安相談員▽法大,2. 反対,2. 反対,2. 評価しない,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,2. 反対,無回答,2. 必要でない,2. 反対,2. 反対
196,35,加藤　鮎子,かとう　あゆこ,新,［公］,山形３区,79872,自民党,1,［元］衆議員秘書,［元］衆院議員秘書▽党３区支部長［歴］会社員▽米コロンビア大院,2. 反対,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,1. 必要だ,2. 反対,2. 反対
197,55,阿部　寿一,あべ　じゅいち,前,,山形３区,78384,無所属,1,［元］酒田市長,［元］酒田市長［歴］建設省職員▽鳥取市企画部長▽東大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,1. 必要だ,1. 賛成,2. 反対
198,45,吉田　大成,よしだ　たいせい,新,,山形３区,15981,民主党,0,［元］神奈川県議,［元］神奈川県議［歴］衆院議員秘書▽党神奈川県幹事長▽東洋大,2. 反対,2. 反対,2. 評価しない,2. 導入すべきでない,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
199,36,長谷川　剛,はせがわ　つよし,新,,山形３区,10794,共産党,0,党地区副委長,党地区副委員長・県委員［歴］下水道施設維持管理会社員▽羽黒高,2. 反対,2. 反対,2. 評価しない,2. 導入すべきでない,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,2. 反対,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
200,66,佐藤　　誠,さとう　まこと,新,,山形３区,1319,無所属,0,政治評論家,政治評論家▽個人タクシー事業者［歴］不動産開発会社員▽日大,無回答,無回答,無回答,無回答,無回答,無回答,無回答,無回答,無回答,無回答,無回答,無回答,無回答,無回答,無回答
201,30,石崎　　徹,いしざき　とおる,前,［公］,新潟１区,92656,自民党,2,［元］財務省職員,［元］財務省職員▽党青年局次長［歴］内閣官房国家戦略室主査▽慶大,無回答,無回答,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,無回答,無回答,無回答,1. 賛成,無回答,1. 必要だ,1. 賛成,2. 反対
202,47,西村智奈美,にしむら　ちなみ,元,,新潟１区,84573,民主党,4,［元］副厚労相,［元］副厚労相［歴］県議▽党県代表▽外務政務官▽新潟大院,2. 反対,2. 反対,1. 評価する,無回答,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,無回答,2. 必要でない,2. 反対,無回答
203,49,町田　明広,まちだ　あきひろ,新,,新潟１区,20037,共産党,0,党県委員,党県委員・新潟地区常任委員［歴］党新潟市議団事務局長▽新潟大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
204,50,細田　健一,ほそだ　けんいち,前,［公］,新潟２区,70589,自民党,2,［元］経産省職員,［元］経産省博覧会推進室長補佐［歴］通産省広報課長補佐▽ハーバード大院,1. 賛成,1. 賛成,1. 評価する,無回答,1. 評価する,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,1. 必要だ,1. 問題ない,2. 見直すべきでない,1. 見直すべきだ,2. 反対,1. 引き受けてもいい,1. 必要だ,1. 賛成,1. 賛成
205,37,鷲尾英一郎,わしお　えいいちろう,前,,新潟２区,70487,民主党,4,公認会計士,公認会計士▽党政調副会長・常任幹事［歴］新日本監査法人社員▽東大,非該当,非該当,1. 評価する,非該当,2. 評価しない,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,非該当,非該当,1. 見直すべきだ,1. 見直すべきだ,1. 賛成,非該当,非該当,1. 賛成,1. 賛成
206,64,渡辺　英明,わたなべ　ひであき,新,,新潟２区,11801,社民党,0,党県幹事長,党県幹事長［歴］県立高教諭▽県総合生活協同組合理事▽駒大,2. 反対,2. 反対,2. 評価しない,1. 導入すべきだ,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
207,52,五位野和夫,ごいの　かずお,新,,新潟２区,11434,共産党,0,［元］柏崎市議,［元］柏崎市議▽党県委員・中越地区常任委員▽柏崎工高,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
208,48,黒岩　宇洋,くろいわ　たかひろ,元,,新潟３区,82619,民主党,2,［元］法務政務官,［元］法務政務官［歴］参院議員秘書▽参院議員▽東大中退,2. 反対,2. 反対,1. 評価する,2. 導入すべきでない,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,1. 賛成
209,38,斎藤　洋明,さいとう　ひろあき,前,［公］,新潟３区,74319,自民党,2,［元］内閣府職員,［元］内閣府主査▽党青年局次長［歴］公正取引委員会職員▽神戸大院,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,非該当,非該当,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,非該当,非該当,1. 必要だ,1. 賛成,非該当
210,40,伊藤　　誠,いとう　まこと,新,,新潟３区,11214,共産党,0,党県委員,党県委員・下越地区副委員長▽新潟大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
211,36,金子　恵美,かねこ　めぐみ,前,［公］,新潟４区,77137,自民党,2,［元］県議,［元］県議［歴］新潟市議▽早大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,2. 負担増は耐えられないので給付水準が下がるのはやむをえない,2. 必要でない,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,1. 賛成,1. 引き受けてもいい,1. 必要だ,1. 賛成,2. 反対
212,45,菊田真紀子,きくた　まきこ,前,,新潟４区,74073,民主党,5,党幹事長代理,党幹事長代理・県代表［歴］加茂市議▽衆院議員秘書▽外務政務官▽加茂高,2. 反対,2. 反対,非該当,2. 導入すべきでない,2. 評価しない,1. 国民の負担を増やしても給付を維持すべきだ,非該当,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,非該当,2. 反対
213,34,西沢　　博,にしざわ　ひろし,新,,新潟４区,13957,共産党,0,党県常任委員,党県常任委員・４区国政対策委員長▽敬和学園大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
214,63,長島　忠美,ながしま　ただよし,前,［公］,新潟５区,81176,自民党,4,副復興相,副復興相［歴］山古志村議▽村長▽東洋大理事長▽復興政務官▽東洋大,無回答,非該当,1. 評価する,非該当,1. 評価する,無回答,無回答,2. 参拝すべきでない,1. 見直すべきだ,無回答,非該当,無回答,非該当,非該当,非該当
215,58,森　ゆうこ,もり　ゆうこ,新,,新潟５区,47420,生活の党,0,［元］副文科相,［元］副文科相▽党代表代行・県代表［歴］横越町議▽参院議員▽新潟大,非該当,2. 反対,非該当,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
216,45,服部　耕一,はっとり　こういち,新,,新潟５区,12993,共産党,0,党県委員,党県委員・中越地区常任委員▽山形大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
217,54,高鳥　修一,たかとり　しゅういち,前,［公］,新潟６区,83638,自民党,3,［元］厚労政務官,［元］厚労政務官▽党厚生労働部会長［歴］国土計画社員▽衆院議員秘書▽早大,無回答,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,無回答,1. 必要だ,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,1. 賛成,無回答,1. 必要だ,1. 賛成,無回答
218,41,梅谷　　守,うめたに　まもる,新,,新潟６区,62766,民主党,0,［元］県議,［元］県議▽ＮＰＯ理事［歴］商社員▽衆院議員秘書▽参院議員秘書▽早大,2. 反対,2. 反対,2. 評価しない,非該当,非該当,非該当,非該当,非該当,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,非該当,非該当,1. 賛成
219,55,高橋ミキ子,たかはし　こ,新,,新潟６区,12315,共産党,0,党県委員,党県委員・上越地区常任委員▽新潟短大,2. 反対,2. 反対,2. 評価しない,非該当,2. 評価しない,非該当,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,非該当,2. 必要でない,2. 反対,2. 反対
220,61,佐田玄一郎,さた　げんいちろう,前,,群馬１区,61927,自民党,9,［元］行革担当相,［元］行革担当相▽党税制調査副会長・道州制推進本部長▽北大,1. 賛成,1. 賛成,1. 評価する,1. 導入すべきだ,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,1. 必要だ,1. 問題ない,2. 見直すべきでない,1. 見直すべきだ,1. 賛成,2. 引き受けたくない,1. 必要だ,1. 賛成,1. 賛成
221,43,上野　宏史,うえの　ひろし,前,,群馬１区,54530,無所属,1,［元］経産省職員,［元］経産省職員［歴］内閣府総括参事官補佐▽参院議員▽ハーバード大院,非該当,1. 賛成,1. 評価する,非該当,2. 評価しない,非該当,非該当,1. 問題ない,1. 見直すべきだ,1. 見直すべきだ,1. 賛成,非該当,1. 必要だ,1. 賛成,1. 賛成
222,44,宮崎　岳志,みやざき　たけし,元,,群馬１区,49862,民主党,2,［元］新聞記者,［元］上毛新聞記者▽党県副会長・１区総支部長▽中大,2. 反対,2. 反対,1. 評価する,2. 導入すべきでない,1. 評価する,1. 国民の負担を増やしても給付を維持すべきだ,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,1. 引き受けてもいい,2. 必要でない,2. 反対,1. 賛成
223,53,店橋世津子,たなはし　せつこ,新,,群馬１区,21394,共産党,0,［元］前橋市議,［元］前橋市議▽党県くらし雇用対策委員長・県常任委員▽県保育大学校,2. 反対,2. 反対,無回答,無回答,2. 評価しない,無回答,2. 必要でない,2. 参拝すべきでない,2. 見直すべきでない,2. 見直すべきでない,1. 賛成,2. 引き受けたくない,2. 必要でない,2. 反対,2. 反対
